model,lang_pair,count,f1_macro
mbert,ar-ar,161,0.5487
mbert,de-de,235,0.5919
mbert,de-en,147,0.6233
mbert,de-fr,21,0.4476
mbert,de-pl,6,0.4857
mbert,en-en,309,0.5966
mbert,es-en,71,0.5743
mbert,es-es,200,0.6071
mbert,es-it,43,0.5778
mbert,fr-en,7,0.8444
mbert,fr-fr,26,0.4286
mbert,fr-pl,7,0.3636
mbert,it-it,130,0.6148
mbert,pl-en,7,0.2667
mbert,pl-pl,71,0.6419
mbert,ru-ru,30,0.5586
mbert,tr-tr,104,0.5246
mbert,zh-en,36,0.3343
mbert,zh-zh,256,0.6393
xlmr,ar-ar,161,0.5481
xlmr,de-de,235,0.5483
xlmr,de-en,147,0.6177
xlmr,de-fr,21,0.4248
xlmr,de-pl,6,0.625
xlmr,en-en,309,0.6246
xlmr,es-en,71,0.5467
xlmr,es-es,200,0.6956
xlmr,es-it,43,0.7552
xlmr,fr-en,7,1.0
xlmr,fr-fr,26,0.4389
xlmr,fr-pl,7,0.5714
xlmr,it-it,130,0.5945
xlmr,pl-en,7,0.65
xlmr,pl-pl,71,0.6759
xlmr,ru-ru,30,0.5605
xlmr,tr-tr,104,0.6321
xlmr,zh-en,36,0.4695
xlmr,zh-zh,256,0.6515
